household_id,date,consumption_liters,pressure_level
1,4/1/2025,456.07,2.12
1,4/2/2025,326.8,3.78
1,4/3/2025,238.82,3.89
1,4/4/2025,420.2,4.35
1,4/5/2025,141.4,4.41
1,4/6/2025,318.05,4.96
1,4/7/2025,202.64,4.39
1,4/8/2025,132.07,4.05
1,4/9/2025,304.43,2.66
1,4/10/2025,185.45,2.92
1,4/11/2025,207.83,2.35
1,4/12/2025,375.94,3.39
1,4/13/2025,313.48,4.94
1,4/14/2025,421.37,4.59
1,4/15/2025,407.51,3.33
1,4/16/2025,347.3,3.5
1,4/17/2025,374.77,2.4
1,4/18/2025,147.57,4.93
1,4/19/2025,386.22,4.62
1,4/20/2025,434.27,2.44
1,4/21/2025,420.82,4.81
1,4/22/2025,263.84,3.98
1,4/23/2025,450.45,2.86
1,4/24/2025,177.33,2.43
1,4/25/2025,113.41,3.38
1,4/26/2025,490,4.55
1,4/27/2025,261.03,2.64
1,4/28/2025,100.07,2.5
1,4/29/2025,365.46,4.96
1,4/30/2025,483.89,3.48
2,4/1/2025,169.89,3.21
2,4/2/2025,172.23,3.13
2,4/3/2025,286.16,3.02
2,4/4/2025,469.53,2.61
2,4/5/2025,201.5,2.4
2,4/6/2025,232.59,4.15
2,4/7/2025,193.04,4.53
2,4/8/2025,147.62,3.97
2,4/9/2025,106.75,4.44
2,4/10/2025,189.01,3.05
2,4/11/2025,308.68,3.39
2,4/12/2025,378.33,3.93
2,4/13/2025,492.89,2.98
2,4/14/2025,258.73,3.56
2,4/15/2025,194.95,4.97
2,4/16/2025,113.85,3.19
2,4/17/2025,316.73,3.15
2,4/18/2025,134.16,2.07
2,4/19/2025,171.59,4.45
2,4/20/2025,334.56,2.73
2,4/21/2025,456.44,2.63
2,4/22/2025,478.87,2.36
2,4/23/2025,450.08,3.28
2,4/24/2025,114.13,2.35
2,4/25/2025,454.47,4.16
2,4/26/2025,309.28,4.98
2,4/27/2025,375.16,2.97
2,4/28/2025,318.28,2.67
2,4/29/2025,326.79,4.96
2,4/30/2025,359.86,3.95
3,4/1/2025,150.62,4.7
3,4/2/2025,234.82,3.58
3,4/3/2025,351.85,3.68
3,4/4/2025,415.3,4.27
3,4/5/2025,191.14,2.38
3,4/6/2025,435.03,2.28
3,4/7/2025,141.94,3.18
3,4/8/2025,185.31,3.29
3,4/9/2025,311.95,3.14
3,4/10/2025,372.75,4.13
3,4/11/2025,294.79,2.18
3,4/12/2025,395.69,2.43
3,4/13/2025,322.77,3.45
3,4/14/2025,467.55,2.46
3,4/15/2025,146.7,2.9
3,4/16/2025,100.57,2.12
3,4/17/2025,382.86,3.03
3,4/18/2025,271.1,3.8
3,4/19/2025,127.6,4.24
3,4/20/2025,260.89,2.69
3,4/21/2025,162.48,2.7
3,4/22/2025,392.7,3.34
3,4/23/2025,157.37,4.43
3,4/24/2025,496.09,4.93
3,4/25/2025,475.36,2.44
3,4/26/2025,106.02,2.41
3,4/27/2025,402.95,3.44
3,4/28/2025,394.3,3.82
3,4/29/2025,254.63,4.32
3,4/30/2025,108.88,4.14
4,4/1/2025,197.74,4.49
4,4/2/2025,151.85,3.05
4,4/3/2025,317.63,2.71
4,4/4/2025,125.09,4.04
